Trial,TimeStamp,CursorPosX,CursorPosY,HandPosX,HandPosy,dVelocity
5,6745.4,723,599,723,599,0
5,6745.4,723,599,723,599,0
5,6745.4,723,599,723,599,0
5,6745.4,723,599,723,599,0
5,6745.4,723,599,723,599,0
5,6745.4,723,599,723,599,0
5,6745.5,724,599,724,599,4.0161
5,6745.5,724,599,724,599,0
5,6745.5,724,599,724,599,0
5,6745.5,724,599,724,599,0
5,6745.5,724,599,724,599,0
5,6745.5,724,599,724,599,0
5,6745.6,724,599,724,599,0
5,6745.6,724,599,724,599,0
5,6745.6,724,599,724,599,0
5,6745.6,724,599,724,599,0
5,6745.6,724,598,724,598,4.0161
5,6745.6,724,597,724,597,4.0161
5,6745.7,724,596,724,596,4.0161
5,6745.7,724,595,724,595,4.0161
5,6745.7,724,593,724,593,8.0321
5,6745.7,724,591,724,591,8.0321
5,6745.7,724,589,724,589,8.0321
5,6745.7,724,588,724,588,4.0161
5,6745.8,724,585,724,585,12.048
5,6745.8,725,580,725,580,20.478
5,6745.8,725,578,725,578,8.0321
5,6745.8,726,572,726,572,24.429
5,6745.8,726,570,726,570,8.0321
5,6745.8,726,563,726,563,28.112
5,6745.9,727,559,727,559,16.559
5,6745.9,727,554,727,554,20.08
5,6745.9,727,552,727,552,8.0321
5,6745.9,728,544,728,544,32.379
5,6745.9,728,541,728,541,12.048
5,6745.9,728,533,728,533,32.129
5,6746,728,529,728,529,16.064
5,6746,729,525,729,525,16.559
5,6746,729,518,729,518,28.112
5,6746,729,515,729,515,12.048
5,6746,729,511,729,511,16.064
5,6746,729,506,729,506,20.08
5,6746.1,729,502,729,502,16.064
5,6746.1,730,498,730,498,16.559
5,6746.1,730,495,730,495,12.048
5,6746.1,730,494,730,494,4.0161
5,6746.1,730,488,730,488,24.096
5,6746.1,730,485,730,485,12.048
5,6746.2,730,485,730,485,0
5,6746.2,730,480,730,480,20.08
5,6746.2,731,478,731,478,8.9802
5,6746.2,731,475,731,475,12.048
5,6746.2,731,473,731,473,8.0321
5,6746.2,731,472,731,472,4.0161
5,6746.3,731,471,731,471,4.0161
5,6746.3,732,469,732,469,8.9802
5,6746.3,732,468,732,468,4.0161
5,6746.3,732,466,732,466,8.0321
5,6746.3,733,465,733,465,5.6796
5,6746.3,733,463,733,463,8.0321
5,6746.4,733,461,733,461,8.0321
5,6746.4,734,460,734,460,5.6796
5,6746.4,734,460,734,460,0
5,6746.4,734,459,734,459,4.0161
5,6746.4,734,459,734,459,0
5,6746.4,735,458,735,458,5.6796
5,6746.5,735,457,735,457,4.0161
5,6746.5,735,457,735,457,0
5,6746.5,736,456,736,456,5.6796
5,6746.5,736,456,736,456,0
5,6746.5,736,456,736,456,0
5,6746.5,736,455,736,455,4.0161
5,6746.6,737,455,737,455,4.0161
5,6746.6,737,454,737,454,4.0161
5,6746.6,737,454,737,454,0
5,6746.6,737,453,737,453,4.0161
5,6746.6,737,453,737,453,0
5,6746.6,738,452,738,452,5.6796
5,6746.7,738,451,738,451,4.0161
5,6746.7,739,451,739,451,4.0161
5,6746.7,739,450,739,450,4.0161
5,6746.7,739,450,739,450,0
5,6746.7,739,449,739,449,4.0161
5,6746.7,740,448,740,448,5.6796
5,6746.8,740,448,740,448,0
5,6746.8,740,447,740,447,4.0161
5,6746.8,741,447,741,447,4.0161
5,6746.8,741,447,741,447,0
5,6746.8,741,446,741,446,4.0161
5,6746.8,742,445,742,445,5.6796
