Trial,TimeStamp,CursorPosX,CursorPosY,HandPosX,HandPosy,dVelocity
1,6715.6,721,601,721,601,0
1,6715.6,721,601,721,601,0
1,6715.6,721,601,721,601,0
1,6715.6,721,601,721,601,0
1,6715.6,721,601,721,601,0
1,6715.7,721,601,721,601,0
1,6715.7,721,601,721,601,0
1,6715.7,721,601,721,601,0
1,6715.7,721,601,721,601,0
1,6715.7,721,601,721,601,0
1,6715.7,721,601,721,601,0
1,6715.8,721,601,721,601,0
1,6715.8,721,601,721,601,0
1,6715.8,721,601,721,601,0
1,6715.8,721,600,721,600,4.0161
1,6715.8,721,600,721,600,0
1,6715.8,721,599,721,599,4.0161
1,6715.9,721,597,721,597,8.0321
1,6715.9,721,595,721,595,8.0321
1,6715.9,721,595,721,595,0
1,6715.9,721,592,721,592,12.048
1,6715.9,721,591,721,591,4.0161
1,6715.9,721,589,721,589,8.0321
1,6716,721,587,721,587,8.0321
1,6716,721,586,721,586,4.0161
1,6716,720,581,720,581,20.478
1,6716,721,578,721,578,12.7
1,6716,721,576,721,576,8.0321
1,6716,722,574,722,574,8.9802
1,6716.1,722,572,722,572,8.0321
1,6716.1,722,571,722,571,4.0161
1,6716.1,722,566,722,566,20.08
1,6716.1,722,562,722,562,16.064
1,6716.1,722,560,722,560,8.0321
1,6716.1,722,559,722,559,4.0161
1,6716.2,722,556,722,556,12.048
1,6716.2,721,551,721,551,20.478
1,6716.2,722,548,722,548,12.7
1,6716.2,722,546,722,546,8.0321
1,6716.2,722,544,722,544,8.0321
1,6716.3,721,541,721,541,12.7
1,6716.3,721,540,721,540,4.0161
1,6716.3,721,534,721,534,24.096
1,6716.3,722,532,722,532,8.9802
1,6716.3,722,530,722,530,8.0321
1,6716.3,722,528,722,528,8.0321
1,6716.4,722,527,722,527,4.0161
1,6716.4,722,524,722,524,12.048
1,6716.4,722,521,722,521,12.048
1,6716.4,722,519,722,519,8.0321
1,6716.4,722,518,722,518,4.0161
1,6716.4,722,516,722,516,8.0321
1,6716.5,722,515,722,515,4.0161
1,6716.5,722,513,722,513,8.0321
1,6716.5,723,512,723,512,5.6796
1,6716.5,724,509,724,509,12.7
1,6716.5,724,507,724,507,8.0321
1,6716.5,725,507,725,507,4.0161
1,6716.6,725,506,725,506,4.0161
1,6716.6,725,502,725,502,16.064
1,6716.6,726,501,726,501,5.6796
1,6716.6,726,500,726,500,4.0161
1,6716.6,727,499,727,499,5.6796
1,6716.6,727,498,727,498,4.0161
1,6716.7,727,495,727,495,12.048
1,6716.7,728,493,728,493,8.9802
1,6716.7,728,491,728,491,8.0321
1,6716.7,729,490,729,490,5.6796
1,6716.7,729,489,729,489,4.0161
1,6716.7,729,488,729,488,4.0161
1,6716.8,729,486,729,486,8.0321
1,6716.8,729,485,729,485,4.0161
1,6716.8,729,484,729,484,4.0161
1,6716.8,729,483,729,483,4.0161
1,6716.8,729,483,729,483,0
1,6716.8,730,481,730,481,8.9802
1,6716.9,729,479,729,479,8.9802
1,6716.9,729,478,729,478,4.0161
1,6716.9,729,477,729,477,4.0161
1,6716.9,729,477,729,477,0
1,6716.9,730,476,730,476,5.6796
1,6716.9,730,475,730,475,4.0161
1,6717,730,474,730,474,4.0161
1,6717,730,473,730,473,4.0161
1,6717,730,472,730,472,4.0161
1,6717,730,472,730,472,0
1,6717,731,471,731,471,5.6796
1,6717,731,470,731,470,4.0161
