CursorPosX,CursorPosY,HandPosX,HandPosy,dVelocity
720.34,600.94,720,601,0
720.34,600.94,720,601,0
720.34,600.94,720,601,0
720.34,600.94,720,601,0
720.34,600.94,720,601,0
720.34,600.94,720,601,0
720.34,600.94,720,601,0
720.34,600.94,720,601,0
720.34,600.94,720,601,0
720.34,600.94,720,601,0
720.34,600.94,720,601,0
720.34,600.94,720,601,0
720.34,600.94,720,601,0
720.34,600.94,720,601,0
720.34,600.94,720,601,0
720.34,600.94,720,601,0
720,600,720,600,4.0161
720.6,598.72,721,599,5.6796
719.57,595.9,721,596,12.048
719.82,593.68,722,594,8.9802
719.82,593.68,722,594,0
720.33,589.23,724,590,17.96
720.49,583.85,726,585,21.627
720.06,579.75,727,581,16.559
720.48,572.15,730,574,30.585
720.39,568.99,731,571,12.7
720.64,566.76,732,569,8.9802
719,553.52,735,556,53.581
719.76,546.86,738,550,26.941
720.09,536.09,742,540,43.254
719.57,528.83,744,533,29.237
719.82,526.61,745,531,8.9802
718.02,518.75,746,523,32.379
716.81,509.61,748,514,37.026
715.7,503.63,749,508,24.429
714.83,495.43,751,500,33.117
714.74,492.27,752,497,12.7
714.56,485.95,754,491,25.4
714.73,480.57,756,486,21.627
715.23,476.12,758,482,17.96
714.55,474.25,758,480,8.0321
713.77,469.21,759,475,20.478
713.68,466.04,760,472,12.7
713.94,463.82,761,470,8.9802
713.25,461.94,761,468,8.0321
712.91,461,761,467,4.0161
713.51,459.72,762,466,5.6796
713.16,458.78,762,465,4.0161
713.16,458.78,762,465,0
713.16,458.78,762,465,0
713.16,458.78,762,465,0
713.16,458.78,762,465,0
713.16,458.78,762,465,0
713.16,458.78,762,465,0
713.16,458.78,762,465,0
713.16,458.78,762,465,0
713.16,458.78,762,465,0
713.16,458.78,762,465,0
713.16,458.78,762,465,0
712.82,457.84,762,464,4.0161
712.82,457.84,762,464,0
712.82,457.84,762,464,0
712.82,457.84,762,464,0
712.82,457.84,762,464,0
712.48,456.9,762,463,4.0161
712.48,456.9,762,463,0
712.48,456.9,762,463,0
712.48,456.9,762,463,0
712.48,456.9,762,463,0
712.48,456.9,762,463,0
712.48,456.9,762,463,0
712.48,456.9,762,463,0
712.48,456.9,762,463,0
712.48,456.9,762,463,0
712.48,456.9,762,463,0
712.48,456.9,762,463,0
712.48,456.9,762,463,0
712.48,456.9,762,463,0
712.48,456.9,762,463,0
712.48,456.9,762,463,0
712.48,456.9,762,463,0
712.48,456.9,762,463,0
712.48,456.9,762,463,0
712.48,456.9,762,463,0
712.48,456.9,762,463,0
712.48,456.9,762,463,0
712.48,456.9,762,463,0
712.48,456.9,762,463,0
712.48,456.9,762,463,0
712.48,456.9,762,463,0
